Jane,Smith,janesmith@student.monash.edu,0987654321,50000.0,2,02/05/2023 10:00,APPROVED
MRS,Tenant,tenant@student.monash.edu,0449581234,0.0,3,19/05/2023 00:21,REJECTED
MRS,Test,tenant@student.monash.edu,0433335555,0.0,7,19/05/2023 02:35,SUBMITTED
shiki,Test,shiki@student.monash.edu,98654321,0.0,3,20/05/2023 19:18,SUBMITTED
shi,ke,shiki@student.monash.edu,98654321,0.0,3,20/05/2023 22:11,SUBMITTED
shiki,Test,shiki@student.monash.edu,98654321,0.0,10,20/05/2023 22:14,SUBMITTED
shiki,Test,shiki@student.monash.edu,98654321,0.0,8,22/05/2023 00:08,SUBMITTED
shiki,Test,shiki@student.monash.edu,,0.0,8,25/05/2023 12:27,SUBMITTED
shiki,Test,shiki@student.monash.edu,0401234567,0.0,6,25/05/2023 12:46,SUBMITTED
shiki,Test,shiki@student.monash.edu,,0.0,10,25/05/2023 12:57,SUBMITTED
MRS,Tenant,tenant@student.monash.edu,,0.0,1,25/05/2023 13:03,SUBMITTED
MRS,Tenant,tenant@student.monash.edu,0401234567,0.0,2,25/05/2023 13:07,SUBMITTED
shiki,Test,shiki@student.monash.edu,,0.0,8,26/05/2023 16:14,SUBMITTED
shiki,Test,shiki@student.monash.edu,,0.0,8,26/05/2023 16:14,SUBMITTED
shiki,Test,shiki@student.monash.edu,,0.0,10,13/06/2024 22:39,SUBMITTED
